date,dir,entry_time,pnl
2023-07-18,long,10:51,774.2
2023-07-25,long,11:46,266.08
2023-08-14,long,10:21,559.84
2023-08-15,short,10:14,108.0
2023-08-17,short,10:42,697.6
2023-08-29,long,10:10,689.6
2023-09-28,long,10:09,338.78
2023-11-07,long,10:38,-366.6
2023-11-10,long,11:23,859.5
2023-11-13,long,11:33,-363.6
2023-11-20,long,11:07,597.58
2023-11-28,long,10:51,-320.23
2023-12-29,short,10:55,-390.6
2024-01-05,long,10:11,-358.0
2024-01-08,long,10:39,914.5
2024-02-22,long,09:57,524.92
2024-03-07,long,10:51,-387.6
2024-04-11,short,10:16,-370.5
2024-05-09,long,10:47,536.62
2024-05-31,short,10:22,-420.6
2024-06-13,short,10:32,-364.7
2024-06-17,long,11:13,1139.4
2024-06-24,long,10:06,-358.4
2024-06-26,long,12:00,79.73
2024-08-22,short,10:19,631.6
2024-09-11,short,10:06,-380.4
2024-10-09,long,11:08,623.6
2024-10-11,long,10:16,125.43
2024-10-15,short,10:38,171.99
2024-11-12,short,11:47,-456.6
2024-11-20,short,10:14,-368.4
2024-12-26,long,11:46,200.2
2025-01-07,short,10:10,635.6
2025-01-28,long,10:32,551.6
2025-02-11,long,10:54,-290.66
2025-02-19,long,11:51,779.06
2025-03-13,short,10:01,575.6
2025-05-09,short,10:32,-366.0
2025-07-02,long,10:38,937.12
2025-07-10,long,11:36,207.98
2025-08-29,short,10:05,-468.6
2025-09-11,long,10:14,638.75
2025-10-01,long,11:40,794.5
2025-10-08,long,10:18,970.36
2025-10-10,short,11:07,941.4
2025-11-19,long,10:02,-556.4
2025-12-02,short,11:32,-515.5
2025-12-11,short,09:59,-576.6
2025-12-31,short,11:03,558.25
2026-01-02,short,10:30,-518.7
2026-01-12,long,11:22,770.0
2026-01-21,long,10:06,659.5
2026-02-17,short,10:04,-618.6
2026-02-26,short,10:22,-594.6
2026-03-05,short,10:38,-490.5
2026-03-23,long,10:25,-565.5
2026-04-09,long,11:42,1487.2
2026-04-21,short,11:08,1168.3
2026-05-28,long,10:22,1119.3
2026-06-02,long,10:56,-207.6
